Set_value	Mon_value	Metex	Std
717.400000	731.554540	0.071710	0.007199
714.000000	714.000020	0.013380	0.003680
714.100000	714.099980	0.012020	0.003643
714.200000	714.199970	0.017940	0.004978
714.300000	714.299960	0.019970	0.002370
714.400000	714.399960	0.025340	0.001452
714.500000	714.499960	0.019570	0.002999
714.600000	714.599980	0.020330	0.005519
714.700000	714.699950	0.019290	0.004303
714.800000	714.799970	0.021140	0.005312
714.900000	714.899960	0.019110	0.002548
715.000000	714.999980	0.026090	0.004179
715.100000	715.099930	0.020130	0.002238
715.200000	715.199960	0.025180	0.003055
715.300000	715.299960	0.022150	0.003292
715.400000	715.399960	0.016480	0.002327
715.500000	715.499980	0.014220	0.002705
715.600000	715.599980	0.022690	0.002436
715.700000	715.699970	0.016160	0.002768
715.800000	715.799980	0.020580	0.003135
715.900000	715.899960	0.019170	0.002918
716.000000	715.999970	0.021130	0.004727
716.100000	716.099980	0.017870	0.004794
716.200000	716.199990	0.021990	0.002718
716.300000	716.299960	0.014630	0.003601
716.400000	716.399980	0.020580	0.004391
716.500000	716.499980	0.013600	0.001525
716.600000	716.599950	0.022490	0.005558
716.700000	716.699980	0.022330	0.003660
716.800000	716.799960	0.018540	0.001687
716.900000	716.899980	0.021240	0.002016
717.000000	716.999960	0.017760	0.002245
717.100000	717.099980	0.016730	0.002156
717.200000	717.199950	0.021570	0.003818
717.300000	717.299980	0.021840	0.004552
717.400000	717.399990	0.020730	0.003632
717.500000	717.499950	0.020430	0.002930
717.600000	717.599970	0.016710	0.003707
717.700000	717.699990	0.027320	0.004031
717.800000	717.799940	0.021620	0.004073
717.900000	717.899990	0.026560	0.004392
718.000000	717.999950	0.020750	0.002343
718.100000	718.099980	0.022170	0.001834
718.200000	718.199990	0.021880	0.002928
718.300000	718.299970	0.019190	0.001905
718.400000	718.399970	0.023870	0.002999
718.500000	718.499990	0.017980	0.003205
718.600000	718.599950	0.020910	0.003070
718.700000	718.699950	0.017810	0.003019
718.800000	718.799960	0.016810	0.003710
718.900000	718.899960	0.016130	0.003060
719.000000	718.999970	0.014280	0.003794
719.100000	719.099960	0.015230	0.003203
719.200000	719.199960	0.019150	0.004761
719.300000	719.299970	0.020500	0.003174
719.400000	719.399980	0.018140	0.002483
719.500000	719.499960	0.020530	0.004198
719.600000	719.599950	0.026110	0.003095
719.700000	719.699960	0.026380	0.002036
719.800000	719.799950	0.022380	0.005357
719.900000	719.899950	0.022720	0.004118
720.000000	719.999940	0.020030	0.004322
720.100000	720.099980	0.020570	0.003229
720.200000	720.199990	0.025290	0.003165
720.300000	720.299980	0.016420	0.004047
720.400000	720.399970	0.024840	0.003938
720.500000	720.499980	0.021280	0.006122
720.600000	720.599980	0.034570	0.004992
720.700000	720.699990	0.022330	0.001183
720.800000	720.799980	0.018230	0.002525
720.900000	720.899990	0.019310	0.006324
721.000000	720.999980	0.025440	0.004650
721.100000	721.099990	0.020380	0.004045
721.200000	721.199960	0.026100	0.003349
721.300000	721.299950	0.020870	0.003304
721.400000	721.399970	0.023910	0.003427
721.500000	721.499960	0.028760	0.007361
721.600000	721.599960	0.024840	0.004171
721.700000	721.699960	0.028330	0.003303
721.800000	721.799980	0.034590	0.003819
721.900000	721.899960	0.028060	0.003988
722.000000	721.999990	0.027800	0.003853
722.100000	722.099980	0.029990	0.003285
722.200000	722.199980	0.036640	0.003153
722.300000	722.299970	0.026930	0.007174
722.400000	722.399970	0.034410	0.005656
722.500000	722.499970	0.030790	0.004119
722.600000	722.599980	0.029810	0.002676
722.700000	722.699970	0.032420	0.005575
722.800000	722.799970	0.029010	0.005955
722.900000	722.899970	0.034340	0.004342
723.000000	722.999950	0.032170	0.003483
723.100000	723.099960	0.032720	0.003203
723.200000	723.199950	0.033360	0.005259
723.300000	723.299960	0.035760	0.005246
723.400000	723.399950	0.030900	0.006775
723.500000	723.499990	0.040590	0.007401
723.600000	723.599980	0.028280	0.004571
723.700000	723.699990	0.027610	0.003959
723.800000	723.799960	0.036750	0.005919
723.900000	723.899970	0.041010	0.008185
724.000000	723.999980	0.054180	0.013609
724.100000	724.099980	0.040120	0.007230
724.200000	724.199990	0.058960	0.012071
724.300000	724.299940	0.056290	0.010834
724.400000	724.399970	0.066540	0.011203
724.500000	724.499970	0.062790	0.007335
724.600000	724.599950	0.071670	0.009832
724.700000	724.699970	0.085780	0.004920
724.800000	724.799980	0.069930	0.009415
724.900000	724.899960	0.075200	0.012863
725.000000	724.999980	0.068290	0.006811
725.100000	725.099980	0.111410	0.020211
725.200000	725.199970	0.098530	0.009765
725.300000	725.299980	0.089280	0.010023
725.400000	725.399990	0.098510	0.013146
725.500000	725.499950	0.073390	0.004426
725.600000	725.599970	0.086180	0.011212
725.700000	725.699980	0.074070	0.007808
725.800000	725.799960	0.092060	0.016654
725.900000	725.899960	0.080860	0.006932
726.000000	725.999970	0.082190	0.009409
726.100000	726.099950	0.084280	0.019967
726.200000	726.199970	0.082200	0.008563
726.300000	726.299960	0.088530	0.009618
726.400000	726.399970	0.087730	0.009773
726.500000	726.499980	0.100680	0.016461
726.600000	726.599950	0.084920	0.006644
726.700000	726.699980	0.096070	0.020180
726.800000	726.799990	0.110770	0.014435
726.900000	726.899970	0.121350	0.012490
727.000000	726.999960	0.106180	0.010217
727.100000	727.099980	0.109540	0.007449
727.200000	727.199960	0.124800	0.018170
727.300000	727.299970	0.103550	0.007838
727.400000	727.399990	0.092780	0.015203
727.500000	727.499930	0.078600	0.019330
727.600000	727.599970	0.095060	0.010054
727.700000	727.699980	0.074510	0.014191
727.800000	727.799940	0.077860	0.012103
727.900000	727.899970	0.066400	0.004973
728.000000	727.999980	0.058340	0.008103
728.100000	728.099990	0.064880	0.016147
728.200000	728.199970	0.045430	0.004613
728.300000	728.299980	0.055600	0.007602
728.400000	728.399980	0.046140	0.006826
728.500000	728.499960	0.061020	0.007621
728.600000	728.599970	0.061730	0.008069
728.700000	728.699980	0.060380	0.007419
728.800000	728.799960	0.053560	0.009854
728.900000	728.899970	0.067140	0.006696
729.000000	728.999990	0.068770	0.010578
729.100000	729.099980	0.051010	0.008956
729.200000	729.199980	0.083450	0.010060
729.300000	729.299950	0.064930	0.008594
729.400000	729.399990	0.054620	0.005926
729.500000	729.499980	0.079100	0.013401
729.600000	729.599950	0.073450	0.012497
729.700000	729.699970	0.078520	0.010919
729.800000	729.799960	0.076700	0.009164
729.900000	729.899980	0.075650	0.019433
730.000000	729.999990	0.078200	0.007883
730.100000	730.099960	0.080800	0.010310
730.200000	730.199980	0.071870	0.013204
730.300000	730.299990	0.071750	0.008840
730.400000	730.399960	0.087060	0.017192
730.500000	730.499980	0.064220	0.006487
730.600000	730.599990	0.068770	0.013454
730.700000	730.699970	0.062330	0.007869
730.800000	730.799980	0.069050	0.005769
730.900000	730.899960	0.064230	0.008863
731.000000	730.999970	0.063350	0.006407
731.100000	731.099990	0.080310	0.008448
731.200000	731.199950	0.066780	0.004877
731.300000	731.299970	0.089540	0.009149
731.400000	731.399990	0.090260	0.011679
731.500000	731.499990	0.087650	0.007633
731.600000	731.599960	0.103180	0.013877
731.700000	731.699980	0.112760	0.020350
731.800000	731.799990	0.140310	0.009844
731.900000	731.899980	0.103090	0.017545
732.000000	731.999980	0.109380	0.013801
732.100000	732.099990	0.098470	0.007717
732.200000	732.199950	0.107700	0.014405
732.300000	732.299970	0.113120	0.017081
732.400000	732.399980	0.099330	0.009135
732.500000	732.499980	0.100320	0.009456
732.600000	732.599950	0.087720	0.005205
732.700000	732.699980	0.073050	0.012631
732.800000	732.799980	0.102090	0.010167
732.900000	732.899950	0.098320	0.021014
733.000000	732.999970	0.081220	0.007757
733.100000	733.099980	0.086440	0.014129
733.200000	733.199980	0.093840	0.009938
733.300000	733.299990	0.082960	0.010017
733.400000	733.399950	0.079880	0.006184
733.500000	733.499970	0.081590	0.008085
733.600000	733.599980	0.075190	0.011830
733.700000	733.699950	0.102240	0.016274
733.800000	733.799980	0.087520	0.011953
733.900000	733.899950	0.102020	0.010083
734.000000	733.999980	0.118950	0.012326
734.100000	734.099990	0.104810	0.015756
734.200000	734.199950	0.088040	0.012258
734.300000	734.299980	0.100420	0.012324
734.400000	734.399950	0.103820	0.013891
734.500000	734.499990	0.101930	0.011320
734.600000	734.599930	0.106020	0.009723
734.700000	734.699960	0.111200	0.012577
734.800000	734.799980	0.129870	0.017877
734.900000	734.899980	0.128860	0.017898
735.000000	734.999960	0.107370	0.012401
735.100000	735.099980	0.127690	0.011323
735.200000	735.199980	0.116530	0.015665
735.300000	735.299970	0.099430	0.016425
735.400000	735.399960	0.086050	0.005490
735.500000	735.499980	0.122550	0.009040
735.600000	735.599960	0.113120	0.010480
735.700000	735.699980	0.122470	0.008205
735.800000	735.799990	0.122410	0.019882
735.900000	735.899960	0.134930	0.023186
736.000000	735.999990	0.118850	0.020366
736.100000	736.099990	0.115690	0.018809
736.200000	736.199960	0.156650	0.019268
736.300000	736.299990	0.118450	0.027402
736.400000	736.399960	0.169070	0.010860
736.500000	736.499980	0.138200	0.018800
736.600000	736.599980	0.150540	0.010545
736.700000	736.699970	0.167420	0.015433
736.800000	736.800000	0.152700	0.018749
736.900000	736.899970	0.158170	0.014212
