Set_value	Mon_value	Metex	Std
728.000000	727.999990	0.001630	0.000698
714.000000	714.000020	0.005020	0.001974
715.000000	714.999990	0.011670	0.002541
716.000000	715.999990	0.018980	0.004233
717.000000	716.999970	0.012220	0.003569
718.000000	717.999990	0.012170	0.002610
719.000000	718.999980	0.009350	0.002415
720.000000	719.999990	0.008590	0.003573
721.000000	720.999980	0.014650	0.005749
722.000000	721.999990	0.020870	0.006790
723.000000	722.999980	0.014000	0.002536
724.000000	723.999990	0.035640	0.010057
725.000000	724.999990	0.069970	0.007326
726.000000	725.999980	0.084670	0.009117
727.000000	726.999990	0.096300	0.007789
728.000000	727.999980	0.064000	0.010503
729.000000	728.999980	0.048540	0.008662
730.000000	729.999980	0.085150	0.014230
731.000000	731.000000	0.077070	0.012175
732.000000	731.999980	0.136490	0.026424
733.000000	732.999990	0.110170	0.012943
734.000000	733.999980	0.104400	0.018563
735.000000	734.999990	0.132870	0.021165
736.000000	735.999980	0.119010	0.011940
737.000000	736.999990	0.158070	0.019743
738.000000	737.999980	0.104030	0.008536
739.000000	738.999970	0.073240	0.010318
740.000000	739.999970	0.064020	0.011816
741.000000	740.999980	0.069750	0.003758
742.000000	741.999990	0.095220	0.010197
743.000000	743.000000	0.078940	0.009895
744.000000	743.999990	0.087320	0.012729
745.000000	744.999980	0.195840	0.016501
746.000000	746.000000	0.146680	0.018293
747.000000	746.999970	0.258000	0.029353
748.000000	747.999970	0.221350	0.011124
749.000000	748.999990	0.276180	0.012251
750.000000	749.999970	0.257890	0.013350
751.000000	750.999990	0.279380	0.032421
752.000000	751.999980	0.290110	0.021955
753.000000	752.999990	0.274700	0.018642
754.000000	753.999980	0.351150	0.022497
755.000000	755.000000	0.283350	0.020192
756.000000	756.000000	0.323140	0.023256
757.000000	757.000000	0.265490	0.008655
758.000000	757.999990	0.318730	0.020094
759.000000	758.999990	0.267820	0.028060
760.000000	759.999970	0.221630	0.013023
761.000000	761.000000	0.185790	0.012786
762.000000	761.999990	0.186110	0.006453
763.000000	762.999970	0.144820	0.007396
764.000000	763.999980	0.217020	0.028169
765.000000	764.999970	0.254740	0.012206
766.000000	765.999990	0.343110	0.012487
767.000000	766.999980	0.295920	0.023290
768.000000	767.999990	0.267930	0.023061
769.000000	768.999990	0.312790	0.024779
770.000000	769.999990	0.304450	0.016068
771.000000	770.999980	0.295700	0.021400
772.000000	771.999970	0.278190	0.015347
773.000000	772.999990	0.271180	0.018031
774.000000	773.999980	0.253040	0.022872
775.000000	774.999970	0.269240	0.010467
776.000000	775.999980	0.262340	0.018758
777.000000	776.999980	0.270560	0.031984
778.000000	777.999980	0.286820	0.026212
779.000000	779.000000	0.247490	0.010183
780.000000	779.999980	0.307380	0.022398
781.000000	780.999990	0.272370	0.023175
782.000000	781.999970	0.292250	0.025022
783.000000	782.999990	0.266720	0.024532
784.000000	783.999990	0.227500	0.015689
785.000000	784.999990	0.255350	0.019974
786.000000	785.999970	0.167890	0.013736
787.000000	786.999980	0.198840	0.022220
788.000000	787.999980	0.144660	0.016754
789.000000	788.999970	0.141780	0.014407
790.000000	789.999980	0.154910	0.013065
791.000000	790.999970	0.135720	0.011948
792.000000	791.999990	0.159040	0.010296
793.000000	792.999980	0.150810	0.015316
794.000000	793.999980	0.136930	0.010359
795.000000	794.999980	0.137990	0.021490
796.000000	795.999980	0.117990	0.009111
797.000000	796.999970	0.179220	0.018752
798.000000	797.999970	0.179160	0.016027
799.000000	798.999980	0.228400	0.019353
800.000000	799.999970	0.182510	0.006897
801.000000	800.999980	0.153490	0.011911
802.000000	801.999970	0.169140	0.015331
803.000000	802.999990	0.155090	0.008554
804.000000	803.999970	0.144620	0.010127
805.000000	804.999990	0.150400	0.027839
806.000000	805.999980	0.140640	0.007954
807.000000	806.999980	0.151840	0.014454
808.000000	808.000010	0.120980	0.011876
809.000000	808.999970	0.128600	0.009047
810.000000	809.999980	0.110090	0.007750
811.000000	810.999950	0.106940	0.010620
812.000000	811.999980	0.107460	0.012065
813.000000	812.999960	0.105880	0.006172
814.000000	813.999980	0.090220	0.005211
815.000000	814.999970	0.091160	0.005814
816.000000	815.999980	0.093900	0.013721
817.000000	816.999960	0.081920	0.007016
818.000000	817.999980	0.069300	0.005157
819.000000	818.999980	0.088220	0.003223
820.000000	819.999980	0.075060	0.005820
821.000000	820.999990	0.069740	0.005203
822.000000	821.999990	0.071630	0.009034
823.000000	822.999970	0.050230	0.003997
824.000000	823.999960	0.065090	0.003838
825.000000	824.999990	0.063720	0.005423
826.000000	825.999950	0.060220	0.005801
827.000000	826.999970	0.044480	0.003673
828.000000	827.999970	0.045130	0.003597
829.000000	828.999960	0.041560	0.003471
830.000000	829.999970	0.032830	0.002466
831.000000	830.999970	0.038790	0.004935
832.000000	831.999970	0.036660	0.005016
833.000000	832.999970	0.052780	0.004273
834.000000	833.999970	0.049890	0.003938
835.000000	834.999960	0.046380	0.005855
836.000000	835.999980	0.056500	0.005719
837.000000	836.999960	0.039400	0.003723
838.000000	837.999980	0.041690	0.001848
839.000000	838.999980	0.047410	0.001891
840.000000	839.999980	0.051740	0.003993
841.000000	840.999960	0.052970	0.002687
842.000000	841.999980	0.053960	0.003882
843.000000	842.999980	0.047980	0.002501
844.000000	843.999980	0.046820	0.002096
845.000000	844.999980	0.049710	0.003408
