Set_value	Mon_value	Metex
746.000000	775.999960	0.104300
746.000000	746.000010	0.078600
747.000000	746.999960	0.121800
748.000000	747.999960	0.093800
749.000000	748.999960	0.132800
750.000000	749.999960	0.182600
751.000000	750.999960	0.123700
752.000000	751.999900	0.150700
753.000000	752.999970	0.157600
754.000000	753.999920	0.188500
755.000000	754.999900	0.250500
756.000000	755.999970	0.140900
757.000000	756.999930	0.128800
758.000000	757.999910	0.141600
759.000000	758.999930	0.132000
760.000000	759.999970	0.103300
761.000000	760.999950	0.134900
762.000000	761.999910	0.126500
763.000000	762.999900	0.105200
764.000000	763.999950	0.192700
765.000000	764.999940	0.263900
766.000000	765.999900	0.328600
767.000000	766.999940	0.310200
768.000000	767.999930	0.249600
769.000000	768.999980	0.301900
770.000000	769.999970	0.318500
771.000000	770.999930	0.308000
772.000000	771.999900	0.352500
773.000000	772.999940	0.307500
774.000000	773.999960	0.367000
