Set_value	Mon_value	Metex	Std
746.000000	746.000050	0.053260	0.014226
747.000000	746.999990	0.218580	0.007832
748.000000	747.999970	0.184200	0.028077
749.000000	748.999980	0.153680	0.018554
750.000000	749.999980	0.164140	0.007647
751.000000	750.999970	0.207580	0.014500
752.000000	751.999980	0.176460	0.010057
753.000000	752.999980	0.199600	0.008946
754.000000	753.999970	0.250260	0.007293
755.000000	754.999980	0.315520	0.013010
756.000000	755.999970	0.208540	0.013446
757.000000	756.999990	0.115880	0.020348
758.000000	757.999970	0.158860	0.020820
759.000000	758.999980	0.171720	0.033771
760.000000	760.000000	0.146960	0.018731
761.000000	760.999990	0.103920	0.015773
762.000000	761.999990	0.130980	0.008725
763.000000	762.999990	0.118140	0.014644
764.000000	763.999990	0.177280	0.005296
765.000000	764.999980	0.243540	0.016993
766.000000	765.999980	0.364220	0.008509
767.000000	766.999970	0.334940	0.005465
768.000000	768.000000	0.256840	0.012264
769.000000	768.999990	0.294820	0.013945
770.000000	769.999990	0.315960	0.015288
771.000000	770.999990	0.315020	0.007990
772.000000	771.999970	0.318240	0.010864
773.000000	772.999980	0.350720	0.027208
774.000000	774.000000	0.307320	0.009265
775.000000	775.000030	0.284140	0.011361
776.000000	775.999990	0.288920	0.005197
777.000000	776.999990	0.356400	0.005784
778.000000	777.999990	0.313280	0.018756
779.000000	778.999990	0.278040	0.010428
780.000000	779.999990	0.300280	0.015500
781.000000	781.000000	0.333760	0.012123
782.000000	781.999990	0.322380	0.012305
783.000000	782.999990	0.254260	0.009123
784.000000	783.999990	0.275700	0.009907
785.000000	784.999990	0.257960	0.007982
786.000000	785.999980	0.277700	0.012862
787.000000	786.999960	0.214960	0.012333
788.000000	787.999980	0.210940	0.026156
789.000000	788.999980	0.211000	0.014734
790.000000	789.999980	0.227820	0.018019
791.000000	790.999980	0.204540	0.005065
792.000000	791.999980	0.268440	0.004010
793.000000	792.999970	0.196280	0.009492
794.000000	793.999990	0.220640	0.016808
795.000000	794.999980	0.216000	0.017330
796.000000	795.999980	0.195840	0.015179
797.000000	796.999980	0.212380	0.016573
798.000000	797.999980	0.266080	0.011790
799.000000	798.999970	0.225500	0.005869
800.000000	799.999980	0.215360	0.018067
801.000000	800.999970	0.221260	0.009384
802.000000	801.999960	0.221020	0.006738
803.000000	802.999990	0.170700	0.005682
804.000000	803.999990	0.140220	0.016725
805.000000	804.999980	0.161060	0.013175
806.000000	805.999990	0.169060	0.019230
807.000000	806.999990	0.163480	0.014122
808.000000	808.000000	0.142320	0.013152
809.000000	808.999980	0.121300	0.014612
810.000000	809.999970	0.142100	0.011004
811.000000	810.999970	0.099060	0.011225
812.000000	811.999970	0.139980	0.004330
813.000000	812.999990	0.117620	0.011091
814.000000	813.999980	0.127580	0.017482
815.000000	814.999980	0.094900	0.009363
816.000000	815.999980	0.103080	0.004704
817.000000	816.999970	0.087240	0.005969
818.000000	817.999980	0.086760	0.002361
819.000000	818.999960	0.077260	0.006426
820.000000	819.999990	0.079840	0.013982
821.000000	820.999980	0.049260	0.006858
822.000000	821.999980	0.056320	0.004346
823.000000	822.999970	0.048660	0.004558
824.000000	823.999970	0.055420	0.003740
825.000000	824.999960	0.061580	0.007930
826.000000	826.000000	0.046200	0.006000
827.000000	826.999980	0.047540	0.002475
828.000000	827.999980	0.037860	0.002796
829.000000	828.999980	0.050620	0.005127
830.000000	829.999970	0.050540	0.007107
831.000000	830.999970	0.039580	0.001728
832.000000	831.999970	0.039480	0.003671
833.000000	832.999990	0.054540	0.004522
834.000000	833.999990	0.036540	0.002397
835.000000	834.999980	0.047680	0.003534
836.000000	835.999980	0.043180	0.000554
837.000000	836.999980	0.035140	0.002171
838.000000	837.999980	0.037240	0.004557
839.000000	838.999970	0.036400	0.002982
840.000000	839.999970	0.031280	0.002547
841.000000	840.999960	0.035420	0.002422
842.000000	841.999990	0.033920	0.002190
843.000000	842.999980	0.033180	0.001207
844.000000	843.999980	0.039200	0.002190
845.000000	844.999980	0.037020	0.000303
846.000000	845.999980	0.040380	0.004694
746.000000	746.000050	0.162820	0.010271
747.000000	746.999990	0.300300	0.029766
748.000000	748.000000	0.216720	0.024126
749.000000	748.999990	0.229340	0.011864
750.000000	749.999990	0.180020	0.016479
751.000000	750.999990	0.181180	0.006923
752.000000	751.999990	0.205920	0.004744
753.000000	752.999990	0.198800	0.009395
754.000000	753.999990	0.222880	0.011148
755.000000	754.999990	0.276580	0.012791
756.000000	756.000010	0.241980	0.017734
757.000000	756.999980	0.176800	0.005325
758.000000	758.000000	0.184660	0.009943
759.000000	758.999990	0.146380	0.009885
760.000000	760.000000	0.140020	0.005838
761.000000	760.999990	0.108480	0.010036
762.000000	761.999990	0.093180	0.010359
763.000000	762.999990	0.101700	0.010171
764.000000	763.999990	0.176680	0.015125
765.000000	764.999990	0.266040	0.020075
766.000000	765.999970	0.310720	0.019169
767.000000	766.999980	0.319420	0.009690
768.000000	767.999990	0.274080	0.026424
769.000000	768.999990	0.311680	0.011892
770.000000	769.999990	0.283160	0.023948
771.000000	770.999990	0.304520	0.011914
772.000000	771.999980	0.326760	0.029766
773.000000	772.999970	0.272540	0.012565
774.000000	773.999990	0.295080	0.018580
775.000000	774.999990	0.291520	0.023270
776.000000	775.999990	0.276040	0.014371
777.000000	776.999990	0.267500	0.022720
778.000000	777.999980	0.296420	0.006066
779.000000	778.999980	0.321840	0.002063
780.000000	779.999970	0.328540	0.010700
781.000000	780.999990	0.273240	0.011914
782.000000	781.999990	0.281480	0.013949
783.000000	782.999990	0.286400	0.018425
784.000000	783.999990	0.237620	0.013281
785.000000	784.999990	0.222740	0.017947
786.000000	785.999990	0.235620	0.026874
787.000000	786.999980	0.219140	0.024150
788.000000	787.999980	0.215880	0.016540
789.000000	788.999970	0.159500	0.021201
790.000000	789.999990	0.170600	0.012705
791.000000	790.999980	0.199120	0.007085
792.000000	791.999980	0.195320	0.015839
793.000000	792.999980	0.190100	0.036107
794.000000	793.999980	0.149080	0.011459
795.000000	794.999980	0.197560	0.011125
796.000000	795.999980	0.190760	0.004708
797.000000	796.999970	0.207980	0.007300
798.000000	797.999970	0.214400	0.005593
799.000000	798.999970	0.245420	0.011105
800.000000	799.999960	0.204760	0.015081
801.000000	800.999980	0.203500	0.015974
802.000000	801.999980	0.174540	0.016506
803.000000	802.999990	0.153640	0.004289
804.000000	803.999970	0.169560	0.012567
805.000000	804.999960	0.175740	0.015900
806.000000	805.999980	0.160540	0.009467
807.000000	806.999990	0.154260	0.015643
808.000000	808.000010	0.158400	0.009753
809.000000	808.999980	0.158720	0.016995
810.000000	809.999980	0.123900	0.014746
811.000000	810.999970	0.130700	0.009807
812.000000	811.999990	0.110500	0.011876
813.000000	812.999980	0.131400	0.009876
814.000000	813.999980	0.105380	0.010006
815.000000	814.999980	0.110800	0.007111
816.000000	815.999980	0.101220	0.001768
817.000000	816.999980	0.086360	0.014144
818.000000	817.999980	0.081240	0.004352
819.000000	818.999960	0.085600	0.007316
820.000000	819.999960	0.070620	0.001402
821.000000	820.999970	0.066020	0.003440
822.000000	821.999960	0.065780	0.003916
823.000000	822.999990	0.057240	0.007364
824.000000	823.999980	0.056200	0.006996
825.000000	825.000000	0.058200	0.003944
826.000000	825.999990	0.054300	0.003445
827.000000	826.999980	0.044860	0.001128
828.000000	827.999980	0.040120	0.001619
829.000000	828.999980	0.046100	0.003531
830.000000	829.999970	0.038320	0.004033
831.000000	830.999980	0.045600	0.004993
832.000000	831.999970	0.045900	0.007033
833.000000	832.999960	0.041200	0.002322
834.000000	833.999990	0.037220	0.003398
835.000000	834.999990	0.045280	0.000444
836.000000	835.999980	0.044720	0.002022
837.000000	836.999980	0.036680	0.004345
838.000000	837.999980	0.040440	0.004208
839.000000	838.999970	0.039460	0.002766
840.000000	839.999990	0.044120	0.003873
841.000000	840.999980	0.043840	0.002046
842.000000	841.999980	0.038920	0.003210
843.000000	842.999980	0.037660	0.002743
844.000000	843.999980	0.039860	0.004227
845.000000	844.999970	0.036300	0.003498
